Symbol,Company Name,Industry,Market Cap
DSWL,Deswell Industries,"Hardware, Equipment & Parts",35388892
DSX,Diana Shipping,Marine Shipping,327891400
DT,Dynatrace,Software - Application,13322914990
DTC,Solo Brands,Internet Retail,112727495
DTCK,Davis Commodities,Agricultural Farm Products,24745632
DTE,DTE Energy Company,Regulated Electric,22742118222
DTI,Drilling Tools International,Oil & Gas Equipment & Services,127409471
DTIL,Precision BioSciences,Biotechnology,106786715
DTM,DT Midstream,Oil & Gas Midstream,6156265008
DTSS,Datasea,Software - Infrastructure,247278490
DTST,Data Storage,Information Technology Services,41727299
DUET,DUET Acquisition,Shell Companies,108062065
DUK,Duke Energy,Regulated Electric,74036824260
DUO,Fangdd Network Group,Real Estate Services,22003704
DUOL,Duolingo,Software - Application,9433968435
DUOT,Duos Technologies Group,Software - Application,24785185
DV,DoubleVerify Holdings,Software - Application,5716458520
DVA,DaVita,Medical Care Facilities,11864933000
DVAX,Dynavax Technologies,Drug Manufacturers - Specialty & Generic,1592196850
DVN,Devon Energy,Oil & Gas Exploration & Production,33508950000
DWSN,Dawson Geophysical Company,Oil & Gas Equipment & Services,49515366
DX,Dynex Capital,REIT - Mortgage,709558128
DXC,DXC Technology Company,Information Technology Services,3864064230
DXCM,DexCom,Medical Devices,53397682650
DXF,Dunxin Financial Holdings,Financial - Credit Services,677039
DXLG,Destination XL Group,Apparel Retail,199482504
DXPE,DXP Enterprises,Industrial Distribution,876648600
DXR,Daxor,Medical Instruments & Supplies,42141411
DXYN,The Dixie Group,Textiles,6936637
DY,Dycom Industries,Engineering & Construction,4110366293
DYAI,Dyadic International,Biotechnology,52153380
DYCQ,DT Cloud Acquisition,Shell Companies,88434252
DYN,Dyne Therapeutics,Biotechnology,2332611436
DYNT,Dynatronics,Medical Devices,2099907
DZSI,DZS Inc.,Communication Equipment,42079820
E,Eni S.p.A.,Oil & Gas Integrated,52920369147
EA,Electronic Arts,Electronic Gaming & Multimedia,35429222000
EAF,GrafTech International,Electrical Equipment & Parts,392952960
EARN,Ellington Residential Mortgage REIT,REIT - Mortgage,138539004
EAST,Eastside Distilling,Beverages - Wineries & Distilleries,1453082
EAT,Brinker International,Restaurants,2218431336
EB,Eventbrite,Software - Application,570462418
EBAY,eBay Inc.,Internet Retail,26858300000
EBC,Eastern Bankshares,Banks - Regional,2298843810
EBF,Ennis,Business Equipment & Supplies,518011494
EBMT,Eagle Bancorp Montana,Banks - Regional,101572603
EBON,Ebang International Holdings,Computer Hardware,59680724
EBR,Centrais Elétricas Brasileiras S.A. - Eletrobrás,Regulated Electric,19113129514
EBS,Emergent BioSolutions,Drug Manufacturers - Specialty & Generic,117979684
EBTC,Enterprise Bancorp,Banks - Regional,304263708
EC,Ecopetrol,Oil & Gas Integrated,24449983530
ECBK,ECB Bancorp,Banks - Regional,118222590
ECDA,ECD Automotive Design,Auto Manufacturers,28100000
ECL,Ecolab,Specialty Chemicals,65171197380
ECO,Okeanis Eco Tankers,Marine Shipping,988413767
ECOR,electroCore,Medical Devices,38176727
ECPG,Encore Capital Group,Financial - Mortgages,1021857340
ECVT,Ecovyst,Specialty Chemicals,1291503360
ECX,ECARX Holdings,Auto Parts,654547082
ED,Consolidated Edison,Regulated Electric,31057893900
EDAP,EDAP TMS,Medical Devices,288296363
EDBL,Edible Garden AG,Agricultural Farm Products,2121929
EDIT,Editas Medicine,Biotechnology,561242668
EDN,Empresa Distribuidora y Comercializadora Norte,Regulated Electric,1033040155
EDR,Endeavor Group Holdings,Entertainment,7868148200
EDRY,EuroDry,Marine Shipping,58999309
EDSA,Edesa Biotech,Biotechnology,13828874
EDTK,Skillful Craftsman Education Technology,Education & Training Services,14530255
EDU,New Oriental Education & Technology Group,Education & Training Services,14472369280
EDUC,Educational Development,Publishing,24084763
EE,Excelerate Energy,Renewable Utilities,416012304
EEFT,Euronet Worldwide,Software - Infrastructure,4895086284
EEIQ,EpicQuest Education Group International,Education & Training Services,12523422
EEX,Emerald Holding,Advertising Agencies,398984331
EFC,Ellington Financial,REIT - Mortgage,972741006
EFOI,Energy Focus,"Furnishings, Fixtures & Appliances",6620264
EFSC,Enterprise Financial Services,Banks - Regional,1446934265
EFSH,1847 Holdings LLC,Conglomerates,6415157
EFTR,eFFECTOR Therapeutics,Biotechnology,60729996
EFX,Equifax,Consulting Services,31789470590
EFXT,Enerflex,Oil & Gas Equipment & Services,762335550
EG,Everest Group,Insurance - Reinsurance,16815575792
EGAN,eGain,Software - Application,195952328
EGBN,Eagle Bancorp,Banks - Regional,661430900
EGHT,"8x8, Inc.",Software - Application,312255130
EGIO,Edgio,Software - Infrastructure,2524826920
EGLE,Eagle Bulk Shipping,Marine Shipping,698146345
EGO,Eldorado Gold,Gold,3051132760
EGOX,Next.e.GO,Auto Manufacturers,3173593
EGP,EastGroup Properties,REIT - Industrial,8346846230
EGRX,Eagle Pharmaceuticals,Drug Manufacturers - Specialty & Generic,63116820
EGY,VAALCO Energy,Oil & Gas Exploration & Production,772489520
EH,EHang Holdings,Aerospace & Defense,1307449022
EHAB,Enhabit,Medical Care Facilities,550924271
EHC,Encompass Health,Medical Care Facilities,8231508000
EHTH,eHealth,Insurance Brokers,164081295
EIG,Employers Holdings,Insurance - Specialty,1140374661
EIGR,Eiger BioPharmaceuticals,Biotechnology,2441159
EIX,Edison International,Regulated Electric,26878227600
EJH,E-Home Household Service Holdings,Personal Products & Services,31425504
EKSO,Ekso Bionics Holdings,Medical Instruments & Supplies,25780464
EL,The Estée Lauder Companies,Household & Personal Products,52487713326
ELA,Envela,Luxury Goods,122792864
ELAB,Elevai Labs,Biotechnology,11870776
ELAN,Elanco Animal Health,Drug Manufacturers - Specialty & Generic,7606527100
ELBM,Electra Battery Materials,Industrial Materials,27652612
ELDN,Eledon Pharmaceuticals,Biotechnology,40894789
ELEV,Elevation Oncology,Biotechnology,251526187
ELF,e.l.f. Beauty,Household & Personal Products,9090365013
ELLO,Ellomay Capital,Renewable Utilities,205384292
ELMD,Electromed,Medical Devices,132778699
ELME,Elme Communities,REIT - Office,1193235218
ELP,Cia Paranaense De Energia Copel,Diversified Utilities,5518555815
ELPC,Cia Paranaense De Energia Copel,Utilities - Diversified,18252813513
ELS,Equity LifeStyle Properties,REIT - Residential,12278404423
ELSE,Electro-Sensors,"Hardware, Equipment & Parts",14020602
ELTK,Eltek,"Hardware, Equipment & Parts",72826912
ELTX,Elicio Therapeutics,Biotechnology,75328770
ELUT,Elutia,Medical Devices,92790400
ELV,Elevance Health,Medical - Healthcare Plans,117730514000
ELVA,Electrovaya,Electrical Equipment & Parts,119645370
ELVN,Enliven Therapeutics,Biotechnology,768651884
ELWS,Earlyworks,Software - Application,10049327
ELYM,Eliem Therapeutics,Biotechnology,76782738
EM,Smart Share Global,Personal Products & Services,157416133
EMBC,Embecta,Drug Manufacturers - Specialty & Generic,728373363
EMCG,Embrace Change Acquisition,Shell Companies,82768401
EME,EMCOR Group,Engineering & Construction,17056790409
EMKR,EMCORE,Semiconductors,26675504
EML,The Eastern Company,Tools & Accessories,197791022
EMLD,FTAC Emerald Acquisition,Shell Companies,266337699
EMN,Eastman Chemical Company,Specialty Chemicals,11971434880
EMR,Emerson Electric Co.,Industrial - Machinery,64910818000
EMX,EMX Royalty,Industrial Materials,212122260
ENB,Enbridge,Oil & Gas Midstream,76074866100
ENFN,Enfusion,Software - Application,837599118
ENG,ENGlobal,Engineering & Construction,8869318
ENGN,enGene Holdings,Biotechnology,720834702
ENIC,Enel Chile,Regulated Electric,4163829320
ENLC,"EnLink Midstream, LLC",Oil & Gas Midstream,6321819150
ENLT,Enlight Renewable Energy,Renewable Utilities,1935052400
ENLV,Enlivex Therapeutics,Biotechnology,80119021
ENOV,Enovis,Industrial - Machinery,3241138932
ENPH,Enphase Energy,Solar,16101017400
ENR,Energizer Holdings,Electrical Equipment & Parts,2032874736
ENS,EnerSys,Electrical Equipment & Parts,3699276480
ENSC,Ensysce Biosciences,Biotechnology,2525092
ENSG,The Ensign Group,Medical Care Facilities,6875816038
ENSV,Enservco,Oil & Gas Equipment & Services,6249507
ENTA,Enanta Pharmaceuticals,Biotechnology,353516760
ENTG,Entegris,Semiconductors,21117102360
ENTX,Entera Bio,Biotechnology,61382649
ENV,Envestnet,Software - Application,3140025642
ENVA,Enova International,Financial - Credit Services,1770260382
ENVB,Enveric Biosciences,Biotechnology,7366950
ENVX,Enovix,Electrical Equipment & Parts,1282315440
ENZ,Enzo Biochem,Diagnostics & Research,64544382
EOG,EOG Resources,Oil & Gas Exploration & Production,77592667560
EOLS,Evolus,Drug Manufacturers - Specialty & Generic,835137408
EOSE,Eos Energy Enterprises,Electrical Equipment & Parts,195067040
EP,Empire Petroleum,Oil & Gas Exploration & Production,137343032
EPAC,Enerpac Tool Group,Industrial - Machinery,1896159825
EPAM,EPAM Systems,Information Technology Services,15449187400
EPC,Edgewell Personal Care Company,Household & Personal Products,1828550122
EPD,Enterprise Products Partners L.P.,Oil & Gas Midstream,64787310000
EPIX,ESSA Pharma,Biotechnology,353905184
EPM,Evolution Petroleum,Oil & Gas Exploration & Production,209101875
EPOW,Sunrise New Energy Co.,Consulting Services,22318120
EPR,EPR Properties,REIT - Specialty,3079459890
EPRT,Essential Properties Realty Trust,REIT - Diversified,4428354870
EPSN,Epsilon Energy,Oil & Gas Exploration & Production,119646072
EQ,Equillium,Biotechnology,82143684
EQBK,Equity Bancshares,Banks - Regional,509660480
EQC,Equity Commonwealth,REIT - Office,2001801610
EQH,Equitable Holdings,Insurance - Diversified,12476264240
EQIX,Equinix,REIT - Specialty,74647768674
EQNR,Equinor ASA,Oil & Gas Integrated,82656238308
EQR,Equity Residential,REIT - Residential,23312206680
EQS,Equus Total Return,Asset Management,20682540
EQT,EQT Corporation,Oil & Gas Exploration & Production,16390413990
EQX,Equinox Gold,Gold,2100196450
ERAS,Erasca,Biotechnology,328741980
ERF,Enerplus,Oil & Gas Exploration & Production,4097721600
ERIC,Telefonaktiebolaget LM Ericsson (publ),Communication Equipment,18080333135
ERIE,Erie Indemnity Company,Insurance Brokers,18438688720
ERII,Energy Recovery,Industrial - Pollution & Treatment Controls,886999890
ERJ,Embraer,Aerospace & Defense,4810009568
ERNA,Eterna Therapeutics,Biotechnology,12335552
ERO,Ero Copper,Copper,2141518400
ES,Eversource Energy,Regulated Electric,20432211410
ESAB,ESAB Corporation,Manufacturing - Metal Fabrication,6763812115
ESBA,Empire State Realty OP,REIT - Office,1574643604
ESCA,Escalade,Leisure,177705712
ESE,ESCO Technologies,"Hardware, Equipment & Parts",2698502180
ESEA,Euroseas,Marine Shipping,264229811
ESGL,ESGL Holdings,Waste Management,6214689
ESGR,Enstar Group,Insurance - Diversified,4543524216
ESHA,ESH Acquisition,Shell Companies,151756875
ESI,Element Solutions,Specialty Chemicals,6059504720
ESLA,Estrella Immunopharma,Biotechnology,44661637
ESLT,Elbit Systems,Aerospace & Defense,9148260660
ESNT,Essent Group,Insurance - Specialty,6217871140
ESOA,Energy Services of America,Engineering & Construction,138700180
ESP,Espey Mfg. & Electronics,Electrical Equipment & Parts,68450983
ESPR,Esperion Therapeutics,Drug Manufacturers - Specialty & Generic,531704160
ESQ,Esquire Financial Holdings,Banks - Regional,379305982
ESRT,Empire State Realty Trust,REIT - Diversified,1575459060
ESS,Essex Property Trust,REIT - Residential,15248331250
ESSA,ESSA Bancorp,Banks - Regional,171121035
ESTA,Establishment Labs Holdings,Medical Devices,1436152161
ESTC,Elastic,Software - Application,9839868880
ET,Energy Transfer LP,Oil & Gas Midstream,53884160000
ETAO,ETAO International Co.,Health Information Services,18030461
ETD,Ethan Allen Interiors,"Furnishings, Fixtures & Appliances",836154832
ETN,Eaton Corporation,Industrial - Machinery,128215530000
ETNB,89bio,Biotechnology,1016358044
ETON,Eton Pharmaceuticals,Biotechnology,92352240
ETR,Entergy,Regulated Electric,22262047200
ETRN,Equitrans Midstream,Oil & Gas Midstream,5446782160
ETSY,"Etsy, Inc.",Internet Retail,7719753800
ETWO,E2open Parent Holdings,Software - Application,1285195800
EU,enCore Energy,Uranium,877174380
EUDA,EUDA Health Holdings,Medical - Healthcare Information Services,44329514
EURN,Euronav NV,Oil & Gas Midstream,3411692371
EVA,Enviva,"Paper, Lumber & Forest Products",31998622
EVAX,Evaxion Biotech,Biotechnology,13643280
EVBG,Everbridge,Software - Application,1444560468
EVBN,Evans Bancorp,Banks - Regional,159363509
EVC,Entravision Communications,Broadcasting,162029256
EVCM,EverCommerce,Software - Infrastructure,1675066340
EVE,EVe Mobility Acquisition,Shell Companies,170854722
EVER,EverQuote,Internet Content & Information,656526279
EVEX,Eve Holding,Aerospace & Defense,1486900320
EVGN,Evogene,Biotechnology,38251043
EVGO,"EVgo, Inc.",Specialty Retail,666349587
EVGR,Evergreen,Shell Companies,97129350
EVH,Evolent Health,Medical - Healthcare Information Services,3477905900
EVI,EVI Industries,Industrial Distribution,290748442
EVLV,Evolv Technologies Holdings,Security & Protection Services,736565720
EVO,Evotec SE,Drug Manufacturers - Specialty & Generic,2712568901
EVOK,Evoke Pharma,Drug Manufacturers - Specialty & Generic,5256236
EVR,Evercore,Financial - Capital Markets,7452359998
EVRG,Evergy,Regulated Electric,12111365600
EVRI,Everi Holdings,"Gambling, Resorts & Casinos",803436774
EVTC,EVERTEC,Software - Infrastructure,2518546784
EVTL,Vertical Aerospace,Aerospace & Defense,254436350
EVTV,Envirotech Vehicles,Auto Manufacturers,44699328
EW,Edwards Lifesciences,Medical Devices,55932926000
EWBC,East West Bancorp,Banks - Diversified,10610073100
EWCZ,European Wax Center,Household & Personal Products,606861250
EWTX,Edgewise Therapeutics,Biotechnology,1722546100
EXAI,Exscientia,Biotechnology,614684716
EXAS,Exact Sciences,Medical - Diagnostics & Research,13219087420
EXC,Exelon,Regulated Electric,37200139350
EXEL,Exelixis,Biotechnology,7182665860
EXFY,Expensify,Software - Application,138082096
EXK,Endeavour Silver,Other Precious Metals & Mining,557129520
EXLS,ExlService Holdings,Information Technology Services,5145935360
EXP,Eagle Materials,Construction Materials,9161341686
EXPD,Expeditors International of Washington,Integrated Freight & Logistics,16936912300
EXPE,Expedia Group,Travel Services,17072678269
EXPI,eXp World Holdings,Real Estate Services,1654958300
EXPO,Exponent,Consulting Services,4043539104
EXR,Extra Space Storage,REIT - Industrial,30691069500
EXTO,Almacenes Éxito,Department Stores,829008075
EXTR,Extreme Networks,Communication Equipment,1463660089
EYE,National Vision Holdings,Specialty Retail,1617155190
EYEN,Eyenovia,Biotechnology,42666625
EYPT,EyePoint Pharmaceuticals,Biotechnology,1033989100
EZFL,EZFill Holdings,Software - Application,9710542
EZGO,EZGO Technologies,Recreational Vehicles,6393691
EZPW,EZCORP,Credit Services,602281134
F,Ford Motor Company,Auto Manufacturers,53272945690
FA,First Advantage,Specialty Business Services,2263059990
FAF,First American Financial,Insurance - Specialty,6186000000
FAMI,Farmmi,Packaged Foods,5222186
FANG,Diamondback Energy,Oil & Gas Exploration & Production,36263999340
FANH,Fanhua,Insurance Brokers,247892879
FARM,Farmer Bros. Co.,Packaged Foods,75446352
FARO,FARO Technologies,"Hardware, Equipment & Parts",398355300
FAST,Fastenal Company,Industrial Distribution,43704801450
FAT,FAT Brands,Restaurants,123402072
FATBB,FAT Brands,Restaurants,125074566
FATE,Fate Therapeutics,Biotechnology,695654875
FATH,Fathom Digital Manufacturing,Computer Hardware,15934591
FBIN,Fortune Brands Innovations,Construction,10361497350
FBIO,Fortress Biotech,Biotechnology,35283456
FBIZ,First Business Financial Services,Banks - Regional,289815181
FBK,FB Financial,Banks - Regional,1688773132
FBLG,FibroBiologics,Biotechnology,366126729
FBMS,The First Bancshares,Banks - Regional,764146713
FBNC,First Bancorp,Banks - Regional,1396924224
FBP,First BanCorp.,Banks - Regional,2867830520
FBRT,Franklin BSP Realty Trust,REIT - Mortgage,1061022765
FBRX,Forte Biosciences,Biotechnology,25294456
FBYD,Falcon's Beyond Global,Conglomerates,1496733152
FC,Franklin Covey Co.,Consulting Services,506602806
FCAP,First Capital,Banks - Regional,96455576
FCBC,First Community Bankshares,Banks - Regional,600109794
FCCO,First Community,Banks - Regional,128777689
FCEL,FuelCell Energy,Electrical Equipment & Parts,510604060
FCF,First Commonwealth Financial,Banks - Regional,1363948300
FCFS,FirstCash Holdings,Financial - Credit Services,5632623473
FCN,FTI Consulting,Consulting Services,7358235764
FCNCA,First Citizens BancShares,Banks - Regional,22802931081
FCNCO,First Citizens BancShares,Banks - Regional,23114097999
FCPT,Four Corners Property Trust,REIT - Retail,2163661248
FCUV,Focus Universal,"Hardware, Equipment & Parts",26110221
FCX,Freeport-McMoRan,Copper,71161080100
FDBC,Fidelity D & D Bancorp,Banks - Regional,270706861
FDMT,4D Molecular Therapeutics,Biotechnology,1389804552
FDP,Fresh Del Monte Produce,Agricultural Farm Products,1208347730
FDS,FactSet Research Systems,Financial Data & Stock Exchanges,16600338304
FDUS,Fidus Investment,Asset Management,602203725
FDX,FedEx,Integrated Freight & Logistics,68531097690
FE,FirstEnergy,Regulated Electric,21909179740
FEAM,5E Advanced Materials,Specialty Chemicals,93663036
FEBO,Fenbo Holdings,Consumer Electronics,89430000
FEDU,Four Seasons Education,Education & Training Services,22863158
FEIM,Frequency Electronics,Communication Equipment,99142703
FELE,Franklin Electric Co.,Industrial - Machinery,4785304560
FEMY,Femasys,Medical Instruments & Supplies,39999733
FENC,Fennec Pharmaceuticals,Biotechnology,291865923
FENG,Phoenix New Media,Internet Content & Information,23292971
FERG,Ferguson,Industrial Distribution,44320812302
FET,Forum Energy Technologies,Oil & Gas Equipment & Services,242725912
FEXD,Fintech Ecosystem Development,Shell Companies,75880488
FF,FutureFuel,Chemicals,358858240
FFBC,First Financial Bancorp.,Banks - Regional,2050752651
FFIC,Flushing Financial,Banks - Regional,348412620
FFIE,Faraday Future Intelligent Electric,Auto Manufacturers,3816549
FFIN,First Financial Bankshares,Banks - Regional,4462427520
FFIV,"F5, Inc.",Software - Infrastructure,11259623114
FFNW,First Financial Northwest,Banks - Regional,187892122
FFWM,First Foundation,Banks - Regional,404872692
FG,F&G Annuities & Life,Insurance - Life,5277290512
FGBI,First Guaranty Bancshares,Banks - Regional,125377770
FGEN,FibroGen,Biotechnology,145193664
FGF,Fundamental Global,Insurance - Diversified,39716740
FGI,FGI Industries,"Furnishings, Fixtures & Appliances",13462126
FHB,First Hawaiian,Banks - Regional,2711988750
FHI,Federated Hermes,Asset Management,3070114776
FHLT,Future Health ESG,Shell Companies,63994899
FHN,First Horizon,Banks - Regional,8207621760
FHTX,Foghorn Therapeutics,Biotechnology,306900139
FI,Fiserv,Information Technology Services,93094745040
FIAC,Focus Impact Acquisition,Shell Companies,181474285
FIBK,First Interstate BancSystem,Banks - Regional,2677391360
FICO,Fair Isaac,Software - Application,31029089455
FIGS,"FIGS, Inc.",Apparel - Manufacturers,722477160
FIHL,Fidelis Insurance Holdings,Insurance - Diversified,2303995830
FINV,FinVolution Group,Financial - Credit Services,1441460680
FINW,FinWise Bancorp,Banks - Regional,125497031
FIP,FTAI Infrastructure,Conglomerates,657959048
FIS,Fidelity National Information Services,Information Technology Services,41857196260
FISI,Financial Institutions,Banks - Regional,277046628
FITB,Fifth Third Bancorp,Banks - Regional,24498432000
FIVE,Five Below,Specialty Retail,9099430374
FIVN,Five9,Software - Infrastructure,4436259300
FIX,Comfort Systems USA,Engineering & Construction,11439055376
FIZZ,National Beverage,Beverages - Non-Alcoholic,4635906828
FKWL,Franklin Wireless,Communication Equipment,35117214
FL,Foot Locker,Apparel Retail,2393548218
FLEX,Flex Ltd.,"Hardware, Equipment & Parts",12217938630
FLFV,Feutune Light Acquisition,Shell Companies,86968792
FLGC,Flora Growth,Drug Manufacturers - Specialty & Generic,23989523
FLGT,Fulgent Genetics,Diagnostics & Research,629948520
FLIC,The First of Long Island Corporation,Banks - Regional,237655366
FLJ,FLJ Group,Real Estate Services,3427206
FLL,Full House Resorts,"Gambling, Resorts & Casinos",183313220
FLNC,Fluence Energy,Renewable Utilities,2940298538
FLNG,FLEX LNG,Oil & Gas Midstream,1413264690
FLNT,Fluent,Advertising Agencies,40799833
FLO,Flowers Foods,Packaged Foods,4872520380
FLR,Fluor,Engineering & Construction,7214990040
FLS,Flowserve,Industrial - Machinery,6168981270
FLUT,Flutter Entertainment,"Gambling, Resorts & Casinos",35280155860
FLUX,Flux Power Holdings,Electrical Equipment & Parts,74566085
FLWS,1-800-FLOWERS.COM,Specialty Retail,632072080
FLXS,Flexsteel Industries,"Furnishings, Fixtures & Appliances",206292062
FLYW,Flywire,Information Technology Services,2902920000
FLYX,flyExclusive,"Airlines, Airports & Air Services",324051008
FMAO,Farmers & Merchants Bancorp,Banks - Regional,286540371
FMBH,First Mid Bancshares,Banks - Regional,742007870
FMC,FMC Corporation,Agricultural Inputs,7489402830
FMNB,Farmers National Banc,Banks - Regional,486970323
FMS,Fresenius Medical Care AG & Co. KGaA,Medical Care Facilities,11049933580
FMX,Fomento Económico Mexicano,Beverages - Alcoholic,26896445550
FN,Fabrinet,"Hardware, Equipment & Parts",6900774504
FNA,Paragon 28,Medical Devices,999015305
FNB,F.N.B.,Banks - Regional,4878076140
FNCB,FNCB Bancorp,Banks - Regional,110852000
FNCH,Finch Therapeutics Group,Biotechnology,3853824
FND,Floor & Decor Holdings,Home Improvement,12954751660
FNF,Fidelity National Financial,Insurance - Specialty,14370688200
FNGR,FingerMotion,Telecom Services,119803512
FNKO,Funko,Leisure,308312903
FNLC,The First Bancorp,Banks - Regional,263004263
FNV,Franco-Nevada,Gold,23141713500
FNVT,Finnovate Acquisition,Shell Companies,102215599
FNWB,First Northwest Bancorp,Banks - Regional,148123976
FNWD,Finward Bancorp,Banks - Regional,105757614
FOA,Finance Of America Companies,Financial - Credit Services,71021204
FOLD,Amicus Therapeutics,Biotechnology,3358504710
FONR,FONAR,Medical Devices,124730596
FOR,Forestar Group,Real Estate - Development,1977069774
FORA,Forian,Health Information Services,95263308
FORD,Forward Industries,Footwear & Accessories,5734884
FORL,Four Leaf Acquisition,Shell Companies,73085911
FORM,FormFactor,Semiconductors,3583494112
FORR,Forrester Research,Consulting Services,406304300
FORTY,Formula Systems (1985),Information Technology Services,1245321894
FOSL,Fossil Group,Luxury Goods,50570504
FOUR,Shift4 Payments,Software - Infrastructure,5694209599
FOX,Fox Corporation,Entertainment,14257166541
FOXA,Fox Corporation,Entertainment,14293463120
FOXF,Fox Factory Holding,Auto Parts,2061895580
FOXO,FOXO Technologies,Medical - Healthcare Information Services,2972766
FPAY,FlexShopper,Rental & Leasing Services,26847860
FPH,"Five Point Holdings, LLC",Real Estate - Development,212693096
FPI,Farmland Partners,REIT - Specialty,518226436
FR,First Industrial Realty Trust,REIT - Industrial,6773161200
FRAF,Franklin Financial Services,Banks - Regional,112875942
FRBA,First Bank,Banks - Regional,329495535
FRD,Friedman Industries,Steel,129968655
FREE,Whole Earth Brands,Packaged Foods,207007038
FRES,Fresh2 Group,Biotechnology,11377167
FREY,FREYR Battery,Electrical Equipment & Parts,255660150
FRGE,Forge Global Holdings,Software - Application,330280000
FRGT,Freight Technologies,Software - Application,2980362
FRHC,Freedom Holding,Financial - Capital Markets,4099183632
FRLA,Fortune Rise Acquisition,Shell Companies,62398097
FRME,First Merchants,Banks - Regional,1983043110
FRO,Frontline,Oil & Gas Midstream,5440906120
FROG,JFrog,Software - Application,4600923680
FRPH,FRP Holdings,Real Estate Services,568687958
FRPT,Freshpet,Packaged Foods,5383176122
FRSH,Freshworks,Software - Application,5402082742
FRST,Primis Financial,Banks - Regional,280632066
FRSX,Foresight Autonomous Holdings,Auto Parts,18391120
FRT,Federal Realty Investment Trust,REIT - Retail,8312268384
FRZA,Forza X1,Recreational Vehicles,7404744
FSBC,Five Star Bancorp,Banks - Regional,381774800
FSBW,FS Bancorp,Banks - Regional,258281320
FSEA,First Seacoast Bancorp,Banks - Regional,43917434
FSFG,First Savings Financial Group,Banks - Regional,112402003
FSI,Flexible Solutions International,Specialty Chemicals,25119710
FSK,FS KKR Capital,Asset Management,5366064560
FSLR,First Solar,Solar,17814933770
FSLY,Fastly,Software - Application,1704339987
FSM,Fortuna Silver Mines,Silver,1401107160
FSP,Franklin Street Properties,REIT - Office,221340200
FSS,Federal Signal,Industrial - Pollution & Treatment Controls,5218609992
FSTR,L.B. Foster Company,Railroads,297593280
FSV,FirstService,Real Estate Services,7258833674
FTAI,FTAI Aviation,Rental & Leasing Services,7032256900
FTCI,FTC Solar,Solar,63190533
FTDR,Frontdoor,Personal Products & Services,2454924240
FTEK,Fuel Tech,Industrial - Pollution & Treatment Controls,37981625
FTEL,Fitell,Specialty Retail,98968000
FTFT,Future FinTech Group,Software - Application,13076788
FTHM,Fathom Holdings,Real Estate Services,41552600
FTI,TechnipFMC,Oil & Gas Equipment & Services,11643584300
FTII,FutureTech II Acquisition,Shell Companies,93925239
FTK,Flotek Industries,Oil & Gas Equipment & Services,109159104
FTLF,FitLife Brands,Packaged Foods,118358698
FTNT,Fortinet,Software - Infrastructure,54419370920
FTRE,Fortrea Holdings,Biotechnology,3451623880
FTS,Fortis,Regulated Electric,19380026550
FTV,Fortive,"Hardware, Equipment & Parts",29775941200
FUBO,fuboTV,Broadcasting,467224680
FUFU,BitFuFu,Financial - Capital Markets,18828427
FUL,H.B. Fuller Company,Specialty Chemicals,4323220732
FULC,Fulcrum Therapeutics,Biotechnology,565468376
FULT,Fulton Financial,Banks - Regional,2474014860
FUN,Cedar Fair,Leisure,2079452125
FUNC,First United,Banks - Regional,149471100
FURY,Fury Gold Mines,Industrial Materials,72758945
FUSB,First US Bancshares,Banks - Regional,56713776
FUSN,Fusion Pharmaceuticals,Biotechnology,1807340084
FUTU,Futu Holdings,Financial - Capital Markets,8022821299
FUV,Arcimoto,Auto - Recreational Vehicles,4347469
FVCB,FVCBankcorp,Banks - Regional,206479350
FVRR,Fiverr International,Internet Content & Information,804616659
FWBI,First Wave BioPharma,Biotechnology,8060292
FWONA,Formula One Group - Series A,Entertainment,28355546961
FWONK,Formula One Group - Series C,Entertainment,28793089981
FWRD,Forward Air,Integrated Freight & Logistics,704681266
FWRG,First Watch Restaurant Group,Restaurants,1413271852
FXNC,First National,Banks - Regional,102321131
FYBR,Frontier Communications Parent,Telecommunications Services,5953736180
G,Genpact,Information Technology Services,5788689300
GABC,German American Bancorp,Banks - Regional,983987122
GAIA,"Gaia, Inc.",Entertainment,86745536
GAIN,Gladstone Investment,Asset Management,499591584
GALT,Galectin Therapeutics,Biotechnology,176425545
GAMB,Gambling.com Group,"Gambling, Resorts & Casinos",358824900
GAMC,Golden Arrow Merger,Shell Companies,81744717
GAME,GameSquare Holdings,Electronic Gaming & Multimedia,22471143
GAN,GAN Limited,Gambling,60894585
GANX,Gain Therapeutics,Biotechnology,64716603
GAQ,Generation Asia I Acquisition,Shell Companies,168219097
GASS,StealthGas,Marine Shipping,214327451
GATE,Marblegate Acquisition,Shell Companies,125184699
GATO,Gatos Silver,Other Precious Metals,657911310
GATX,GATX Corporation,Rental & Leasing Services,4706590000
GAU,Galiano Gold,Gold,385315440
GB,Global Blue Group Holding AG,Software - Infrastructure,995848190
GBBK,Global Blockchain Acquisition,Shell Companies,77564426
GBCI,Glacier Bancorp,Banks - Regional,4286444080
GBDC,Golub Capital BDC,Asset Management,2833433460
GBIO,Generation Bio Co.,Biotechnology,273885648
GBLI,"Global Indemnity Group, LLC",Insurance - Property & Casualty,407232111
GBNY,Generations Bancorp NY,Banks - Regional,22224747
GBR,New Concept Energy,Real Estate Services,5747762
GBTG,Global Business Travel Group,Software - Application,2835720000
GBX,The Greenbrier Companies,Railroads,1693826784
GCBC,Greene County Bancorp,Banks - Regional,446612964
